,GLRLM0,GLRLM1,GLRLM4,correlation_45,ASM_0,energy_90,Label
64,1.777,493.939,19.06,0.101179122,0.000631906,0.025627166,1
65,2.083,108.895,34.201,0.165526877,0.0003996,0.020067524,1
66,1.771,297.007,22.838,0.403958045,0.000526726,0.023348523,1
67,1.93,110.72,31.613,0.261199412,0.000596087,0.024180559,1
68,1.686,465.904,17.973,0.376411019,0.000805825,0.028659268,1
69,1.931,200.731,27.856,0.108372026,0.00041782,0.02068732,1
70,1.907,208.226,26.171,0.23094137,0.000544325,0.024013009,1
71,1.834,340.782,23.259,0.062465669,0.000521757,0.023000085,1
72,1.589,597.797,16.115,0.314930313,0.001202733,0.035272406,1
73,1.864,282.973,23.925,0.44579698,0.000426516,0.021034696,1
74,2.056,116.323,33.209,0.217108221,0.000402084,0.019807907,1
75,2.009,139.204,30.49,0.020783217,0.000495669,0.023634965,1
76,1.869,197.541,26.46,0.502846825,0.000517202,0.023752933,1
77,1.978,106.232,33.06,0.39238341,0.000523207,0.022554675,1
78,1.753,422.35,20.448,0.416902337,0.000622589,0.024847792,1
79,1.909,293.478,24.957,0.420587413,0.00043397,0.021269619,1
80,1.744,854.745,16.431,0.34100864,0.00078305,0.028557947,1
81,1.648,466.617,17.993,0.335653928,0.000715553,0.024914364,1
82,1.762,521.861,19.078,0.311989739,0.000542255,0.023401669,1
83,1.901,292.198,24.791,-0.001267105,0.000680562,0.027305212,1
84,1.934,538.198,21.098,0.756659604,0.000654681,0.02735067,1
85,1.738,208.927,25.205,-0.084572051,0.000547845,0.023652479,1
86,1.669,352.396,20.071,0.462421357,0.00062321,0.025432526,1
87,1.806,531.925,18.846,0.134672977,0.000816177,0.028677323,1
88,1.891,223.958,25.135,0.073047643,0.00068843,0.027053826,1
89,2.027,301.408,25.068,0.278043858,0.000412644,0.020627182,1
90,2.03,244.857,28.286,0.155345601,0.000376825,0.019734603,1
91,1.869,568.392,19.679,0.4515999,0.000537907,0.025104774,1
92,1.578,1123.016,13.247,0.566130813,0.000814728,0.029128624,1
93,1.766,466.6,20.029,0.18315178,0.00077746,0.029128624,1
94,1.622,431.003,18.666,0.402209796,0.000539356,0.023259678,1
95,1.599,600.052,16.388,0.108118901,0.000935229,0.030921528,1
96,1.975,214.52,27.276,0.041190697,0.000474758,0.021798436,1
97,1.817,429.594,20.752,0.216707296,0.000784913,0.027316583,1
98,1.848,361.83,22.098,0.127217892,0.000421754,0.020742293,1
99,1.776,380.593,20.137,0.095958868,0.000683461,0.026800083,1
100,1.798,321.565,22.388,0.110935871,0.000752821,0.027964527,1
101,1.905,282.548,24.335,0.115811643,0.000489665,0.02243502,1
102,1.903,173.439,27.548,-0.162014013,0.000613479,0.025030438,1
103,1.651,819.353,16.433,0.200508047,0.000647435,0.025412166,1
104,1.695,255.43,22.556,0.046905591,0.001193623,0.036817573,1
105,1.786,291.639,22.52,0.301104581,0.000805411,0.027670528,1
106,1.551,735.27,15.384,0.240079448,0.000946203,0.031178254,1
107,1.82,589.863,17.321,0.392318938,0.000912247,0.031181574,1
108,1.817,279.832,22.524,0.21671254,0.000580558,0.025868406,1
109,1.831,438.734,20.943,0.333453345,0.000429415,0.021264751,1
110,1.953,201.491,27.224,0.646738273,0.000452397,0.022151756,1
111,1.793,326.083,21.033,0.287857579,0.000611408,0.024947583,1
112,1.727,799.372,15.845,0.145211087,0.001587426,0.039382555,1
113,1.846,371.211,20.469,0.184200784,0.001171883,0.034401715,1
114,1.701,491.996,18.266,0.533880335,0.000631492,0.026127236,1
115,2.091,100.681,34.783,0.254083417,0.000473722,0.02198758,1
116,2.054,92.105,35.391,0.15829047,0.000399186,0.01980268,1
117,2.017,250.977,27.671,0.176004738,0.000413058,0.020506378,1
118,1.751,385.163,20.595,0.406679309,0.000684703,0.032013753,1
119,2.041,114.231,33.041,0.525836852,0.000398358,0.019592455,1
120,1.92,348.46,22.368,0.197803985,0.000467304,0.021313379,1
121,1.717,1021.09,13.985,0.490619621,0.001276856,0.036591939,1
122,1.901,726.724,18.237,0.215541166,0.000541427,0.024201956,1
123,1.894,261.224,26.734,0.520422344,0.000424031,0.020551762,1
124,1.839,212.718,25.394,0.184767311,0.00070106,0.026083614,1
125,1.874,478.721,19.392,0.077435545,0.000834605,0.030817568,1
126,1.692,678.621,17.25,0.292454014,0.001165258,0.035351562,1
127,1.77,394.423,20.698,0.239700487,0.000633562,0.025635244,1
128,1.703,670.454,16.234,0.13269364,0.000516167,0.023591123,1
129,1.566,1042.189,13.138,0.299379117,0.001052211,0.035599605,1
130,1.825,511.472,19.23,0.128850594,0.000543911,0.023277474,1
131,1.795,289.397,21.889,0.504808963,0.000752821,0.028204127,1
132,1.631,335.722,21.133,0.217566748,0.000810794,0.028842902,1
133,1.666,757.384,15.774,0.138872387,0.001929881,0.047010794,1
134,1.778,581.233,17.309,-0.019203363,0.000714311,0.027286248,1
135,2.057,146.201,30.894,0.207352304,0.00039401,0.020237047,1
136,1.753,510.565,19.723,0.497243329,0.000831292,0.027584344,1
137,1.832,299.944,22.009,0.249094015,0.000687809,0.027023196,1
138,1.796,149.291,27.793,0.371911992,0.000455088,0.021540457,1
139,2.023,104.425,33.15,0.175064757,0.000399807,0.020405161,1
140,1.868,253.463,24.923,0.463945755,0.000452604,0.021347352,1
141,1.641,886.933,14.501,0.005503152,0.000829221,0.030851142,1
142,1.806,402.445,20.692,0.379699913,0.00047393,0.021574073,1
143,1.655,1208.406,13.29,0.177356447,0.00154995,0.042871344,1
144,1.32,1215.985,11.377,0.381764958,0.000742676,0.026656776,1
145,1.976,152.758,29.999,0.071693512,0.00044163,0.021342502,1
146,1.808,665.572,17.725,0.308720853,0.000695055,0.026598459,1
147,1.729,446.32,19.237,0.254137691,0.000678492,0.028430788,1
148,1.82,377.466,21.388,0.292298099,0.000431278,0.021034696,1
149,2.049,131.205,32.215,0.419152809,0.000398565,0.020581963,1
150,1.648,1113.863,13.722,0.327629874,0.00048863,0.022545493,1
151,1.714,563.999,18.762,0.505445172,0.000650126,0.026210311,1
152,1.859,183.393,27.506,0.374558918,0.000435419,0.021123099,1
153,1.756,553.669,18.344,-0.051722835,0.000559026,0.024856123,1
154,1.55,848.74,14.135,0.14197471,0.00139715,0.039126744,1
155,1.891,339.188,22.966,0.285443253,0.000453225,0.021607636,1
156,1.759,328.205,23.151,-0.008586083,0.000649091,0.025719908,1
157,1.863,221.941,25.044,0.368196033,0.000483868,0.02116227,1
158,1.826,253.819,23.572,0.181763232,0.000552814,0.024317173,1
159,1.919,119.776,30.715,0.269412834,0.000455295,0.021279351,1
160,1.796,445.512,18.843,0.10970102,0.000769178,0.02846354,1
161,1.977,185.973,27.308,0.136909937,0.000482625,0.022517926,1
162,1.754,554.166,18.501,0.16813359,0.000955727,0.030635632,1
163,1.83,210.028,25.577,0.124597994,0.000860485,0.029025375,1
164,1.888,141.105,28.963,0.194246219,0.000806446,0.028171074,1
165,1.752,580.118,18.217,0.304312469,0.001042686,0.034635641,1
166,1.819,496.496,19.895,0.135506756,0.000403327,0.020359449,1
167,1.782,312.156,23.107,0.050551249,0.000964009,0.03124459,1
168,1.959,156.637,28.195,0.226883684,0.000562338,0.023904988,1
169,2.027,216.926,27.932,0.122856335,0.000391732,0.019786991,1
170,1.954,323.497,23.675,0.39831424,0.000428379,0.020328918,1
171,1.935,210.696,26.697,0.372209858,0.000385728,0.020622163,1
172,1.887,205.803,27.437,0.14323045,0.000470203,0.021415137,1
173,1.856,370.747,22.092,0.072717884,0.000800235,0.029730148,1
174,1.538,631.367,16.011,0.315394118,0.000688016,0.025063503,1
175,1.821,491.886,19.841,0.230829402,0.000870217,0.028957529,1
176,1.849,645.806,17.621,0.215666807,0.000767522,0.028053233,1
177,1.781,561.983,19.463,0.007431753,0.000457573,0.022025214,1
178,1.805,420.23,20.405,0.330669813,0.000736879,0.02815637,1
179,1.902,219.642,25.61,0.152337039,0.000573933,0.023861642,1
180,1.722,520.405,17.888,0.383060469,0.000527348,0.023935283,1
181,1.903,284.706,24.472,0.620043323,0.000441837,0.021064205,1
182,1.615,891.111,14.119,0.004171922,0.000855723,0.029730148,1
183,1.717,354.162,21.223,0.456362431,0.000512233,0.022573027,1
184,1.677,404.612,19.349,-0.010539123,0.00068491,0.027290042,1
185,1.797,402.319,21.252,0.201906676,0.000431899,0.021078944,1
186,1.926,182.617,27.129,0.376215213,0.000611615,0.024621784,1
187,1.69,949.888,14.542,0.348812824,0.001372719,0.040484323,1
188,1.873,389.896,22.183,-0.039536179,0.000535008,0.024684772,1
189,1.977,149.271,29.52,0.211552245,0.000471031,0.022062783,1
190,1.691,418.714,19.148,-0.011216495,0.000685738,0.027168381,1
191,1.607,1129.197,12.642,0.57091573,0.000776839,0.028060613,1
192,1.781,543.648,18.904,0.331987534,0.000482833,0.021803184,1
193,1.787,359.653,21.228,0.397773181,0.000564202,0.02402163,1
194,1.822,331.852,23.623,0.143845215,0.000902102,0.031789844,1
195,2.027,189.428,29.833,0.160823844,0.000405397,0.020026211,1
196,1.844,601.396,18.674,-0.012468282,0.000686566,0.026811669,1
197,1.813,201.131,25.26,0.178477183,0.000427137,0.020965682,1
198,1.884,310.206,24.148,0.044373246,0.000461093,0.021220891,1
199,2.07,157.624,31.15,0.227164032,0.000395873,0.019938138,1
200,1.968,159.716,29.285,0.172101392,0.000505608,0.022263634,1
201,2.032,130.296,31.485,0.268354259,0.00041782,0.02061212,1
202,1.874,226.573,26.64,0.253755375,0.000495255,0.022485721,1
203,1.761,783.778,15.197,0.109459201,0.000993616,0.031613504,1
204,2.057,91.774,35.184,0.24283699,0.000446185,0.021211132,1
205,1.903,154.124,28.066,0.101576511,0.000594017,0.025154209,1
206,1.943,301.051,24.684,0.297855467,0.000429207,0.022123698,1
207,1.962,250.674,25.495,0.388547198,0.000416785,0.020389935,1
208,1.937,346.97,24.453,0.400202402,0.000403741,0.019875734,1
209,1.767,536.124,19.021,0.249200313,0.001482867,0.039474451,1
210,2.001,546.585,21.369,0.502890114,0.000384278,0.019792222,1
211,1.793,449.917,21.7,0.061585479,0.000673936,0.02681553,1
212,1.795,562.751,18.087,0.149670791,0.001025087,0.033585556,1
213,1.808,155.923,27.92,0.096279523,0.000472273,0.022319363,1
214,1.591,954.432,13.497,0.218131111,0.002178751,0.044610888,1
215,1.897,201.798,26.663,0.577870889,0.000578695,0.024776864,1
216,1.811,283.899,23.179,0.307041831,0.000427965,0.020742293,1
217,1.846,321.917,23.378,0.093214369,0.00069195,0.028735024,1
218,1.896,288.677,23.91,0.068218134,0.000837089,0.028978971,1
219,1.775,644.512,18.192,0.058430095,0.000760689,0.027516708,1
220,1.955,205.513,27.351,0.273377886,0.000491528,0.021973451,1
221,1.895,164.741,29.03,0.354777434,0.0004143,0.020165302,1
222,1.683,506.458,17.62,0.436200871,0.000931088,0.028918177,1
223,1.573,1488.759,11.775,0.266138255,0.00145533,0.03801014,1
224,1.849,669.699,19.875,0.033982351,0.000893613,0.030299247,1
225,1.824,524.899,18.951,0.031221342,0.00062673,0.024814439,1
226,1.749,967.975,14.988,0.344783377,0.00111391,0.033387701,1
227,1.909,289.708,24.383,0.459511283,0.000423203,0.021196485,1
228,1.992,203.099,27.881,0.408102474,0.000413886,0.020491227,1
229,2.034,164.638,30.743,0.109071772,0.000433141,0.020541686,1
230,2.061,110.169,34.049,-0.029041095,0.000458608,0.02198758,1
231,1.789,244.446,24.035,0.175535789,0.000415335,0.02048112,1
232,1.967,372.793,23.18,0.184000628,0.000536043,0.022851069,1
233,1.653,913.654,14.134,0.383517245,0.000683668,0.02658678,1
234,1.949,188.782,26.997,0.096578202,0.000547224,0.023852964,1
235,1.83,400.67,21.171,0.22926377,0.000884503,0.029562534,1
236,1.984,115.393,32.204,0.483889485,0.000422996,0.021069119,1
237,1.833,200.748,26.372,0.307179017,0.000529832,0.023049543,1
238,2.047,142.509,31.468,0.248543078,0.000415335,0.020657273,1
239,1.792,245.399,24.623,0.22490187,0.00094848,0.031613504,1
240,1.843,366.943,21.93,0.511024361,0.000397115,0.019781758,1
241,1.85,343.902,22.948,0.224191255,0.000730667,0.026877228,1
242,2.11,102.154,34.433,0.078617543,0.000390283,0.019781758,1
243,1.709,536.206,19.19,0.234712017,0.000518652,0.02349879,1
244,1.9,323.409,22.629,0.044005014,0.000489458,0.022600527,1
245,1.847,165.143,27.067,0.388425862,0.000636254,0.025840377,1
246,1.658,250.354,23.448,0.124948819,0.000488423,0.022842007,1
247,1.966,191.341,28.557,0.273291021,0.000390904,0.020201206,1
248,1.877,336.462,24.559,0.009267645,0.00040312,0.020359449,1
249,1.89,234.004,24.385,0.000710677,0.000876221,0.030733472,1
250,1.856,355.019,21.556,0.638905946,0.000487802,0.021746133,1
251,2.028,133.703,30.987,0.349282202,0.00039401,0.01994852,1
252,2.04,100.402,34.051,0.095421011,0.000390283,0.019844458,1
253,1.866,262.562,24.507,0.073655771,0.000634805,0.026352117,1
254,1.819,591.266,17.839,0.878105011,0.000739984,0.027801164,1
255,1.879,255.103,24.45,0.144310705,0.000790504,0.027905233,1
256,1.745,535.438,19.069,0.433232681,0.000625695,0.02508002,1
257,1.627,417.349,19.193,-0.094956769,0.000954277,0.030387951,1
258,1.761,492.473,18.13,0.424685195,0.000760068,0.027734057,1
259,2.021,144.126,31.214,0.06800365,0.000432106,0.021473068,1
260,1.836,260.983,24.667,0.160310728,0.000446599,0.02098049,1
261,1.608,499.566,18.674,0.372802436,0.000515546,0.023476752,1
262,1.896,331.926,22.231,0.234232467,0.000436454,0.020990356,1
263,1.639,1230.904,12.107,0.266481515,0.000708927,0.02735067,1
264,1.536,1246.174,13.564,0.157248657,0.0005524,0.025150093,1
265,1.875,356.576,23.049,0.780029309,0.001490114,0.041429649,1
266,1.697,437.323,18.896,0.442436411,0.000500639,0.022490324,1
267,1.521,676.259,16.918,0.225671293,0.000611201,0.025342817,1
268,2.063,188.881,29.58,0.27502423,0.000424445,0.020597047,1
269,1.916,229.23,25.45,0.242895168,0.000432313,0.021015001,1
270,1.893,180.881,26.413,0.188524142,0.000577039,0.024385193,1
271,1.958,131.738,30.334,0.093787835,0.000400221,0.02012419,1
272,1.718,470.843,19.627,0.194299752,0.000770834,0.028137981,1
273,1.844,326.95,21.371,0.155668264,0.000547431,0.023281921,1
274,1.935,118.857,32.646,0.309946137,0.000444529,0.020881571,1
275,1.794,329.611,22.229,0.630434045,0.000590083,0.025338732,1
276,2.101,250.349,27.863,0.229402907,0.000399807,0.020460892,1
277,1.739,391.643,19.801,0.692933583,0.000452811,0.021415137,1
278,1.918,307.374,24.192,0.608150756,0.000426723,0.021147589,1
279,1.845,205.296,24.96,0.265093857,0.000431485,0.021005146,1
280,1.945,157.072,29.704,-0.064775965,0.000431485,0.020516472,1
281,1.61,1098.403,12.535,0.417864012,0.001128197,0.034063012,1
282,1.779,431.098,19.933,0.100768767,0.000584699,0.023761648,1
283,1.833,205.851,26.05,0.051388641,0.000712447,0.026730462,1
284,1.559,719.767,14.744,0.158012532,0.000854481,0.029632488,1
285,1.656,1249.143,12.896,0.168169015,0.000902309,0.030874622,1
286,1.796,586.459,17.426,0.160641814,0.000998793,0.031511826,1
287,1.842,376.756,20.719,0.162771639,0.00097581,0.032097719,1
288,1.807,763.989,18.098,0.474260328,0.000601677,0.023599898,1
289,2.095,207.685,30.614,0.182917753,0.000390697,0.019475864,1
290,1.971,209.471,29.29,0.169750944,0.00040519,0.019989993,1
291,1.786,445.141,21.503,0.181239745,0.000697126,0.026830967,1
292,1.843,448.575,19.932,0.255556391,0.000739363,0.02698486,1
293,1.948,150.543,29.761,0.285529249,0.000443701,0.021511602,1
294,1.545,515.399,17.248,-0.029518096,0.001186998,0.0325938,1
295,1.907,210.874,26.636,0.154406925,0.000443494,0.021660274,1
296,1.606,675.171,17.152,0.529382897,0.000441216,0.021769923,1
297,2.055,160.577,31.223,0.189093348,0.000404569,0.020420375,1
298,1.748,524.301,18.855,0.474304223,0.000591325,0.025236386,1
299,1.837,201.587,25.748,0.285993526,0.000451983,0.021755652,1
300,1.671,692.011,16.674,0.278938576,0.000715553,0.026942627,1
301,1.953,271.022,26.548,0.571640634,0.00042341,0.020465951,1
302,1.984,217.572,26.956,0.268497962,0.000419269,0.021029774,1
303,1.873,356.76,23.777,0.485997199,0.000416371,0.021019927,1
304,2.127,109.492,34.864,0.096172805,0.000420719,0.020955804,1
305,2.056,124.516,32.512,0.273219937,0.000405811,0.020374698,1
306,2.005,214.498,27.724,0.332841216,0.000428172,0.021477888,1
307,1.547,740.249,14.862,0.42639178,0.000878498,0.028817767,1
308,1.803,232.277,23.342,0.456762517,0.000444529,0.022545493,1
309,1.942,145.405,30.247,0.389145954,0.000523,0.023687468,1
310,1.747,538.906,18.066,0.15841119,0.000455295,0.021289079,1
311,1.784,419.448,20.544,0.276081362,0.000934815,0.030588287,1
312,2.042,125.251,32.338,0.251546181,0.000427344,0.020881571,1
313,1.86,414.041,21.521,0.412675398,0.000668346,0.025860401,1
314,1.708,497.545,18.079,0.292833585,0.000826116,0.031955493,1
315,1.838,459.458,22.36,0.585027027,0.000509334,0.023210668,1
316,1.811,253.26,23.193,0.039608483,0.000717209,0.0287134,1
317,1.63,1163.699,12.549,0.568130015,0.000666276,0.02638745,1
318,1.854,437.452,20.327,0.211491176,0.000725698,0.029206707,1
319,1.818,357.012,22.234,0.147525274,0.000595673,0.024910208,1
320,1.638,750.429,15.331,0.576728216,0.000560061,0.024764326,1
321,1.792,458.229,22.485,0.070805214,0.000863384,0.02947837,1
322,2.021,122.083,31.929,0.216033888,0.000393595,0.019870525,1
323,1.649,726.204,15.086,0.329064831,0.000940198,0.030031562,1
324,1.905,270.974,25.499,0.191555361,0.000458401,0.021191601,1
325,1.851,204.596,24.976,0.18884394,0.000853239,0.029879503,1
326,1.878,212.304,26.323,0.268897747,0.000542462,0.023809524,1
327,1.919,266.335,23.728,0.215301849,0.000458194,0.022282226,1
328,1.844,269.259,23.989,0.158594431,0.00060706,0.025260986,1
329,1.769,466.387,19.904,0.350813513,0.000457159,0.022142407,1
330,1.768,373.605,20.534,0.105061495,0.000908934,0.030506953,1
331,1.726,425.234,19.912,-0.119217131,0.000722385,0.026977186,1
332,1.956,181.165,27.459,0.048846908,0.0005524,0.023809524,1
333,1.799,441.588,22.088,0.116724381,0.000884917,0.030271901,1
334,1.868,343.77,22.355,0.34840998,0.000394631,0.020005523,1
335,2.054,114.462,33.486,0.072874381,0.000493806,0.022393453,1
336,1.741,381.353,19.958,0.243811358,0.000453639,0.022011109,1
337,1.714,496.421,19.016,0.46741868,0.000673108,0.025687688,1
338,1.814,195.075,26.873,0.103393709,0.000528383,0.023883325,1
339,1.863,295.634,24.942,0.127804404,0.000423203,0.020561834,1
340,1.617,476.353,18.259,0.251931723,0.001018876,0.032226471,1
341,1.793,266.294,23.206,-0.001286491,0.000457366,0.021893212,1
342,1.931,292.539,24.857,0.456511757,0.000418441,0.021477888,1
343,1.631,190.251,25.542,0.036778784,0.000563788,0.024389438,1
344,2.009,150.813,29.733,0.369802015,0.000459229,0.021516414,1
345,1.956,170.113,28.355,0.206570235,0.000473722,0.021636363,1
346,1.897,269.212,25.56,0.167794696,0.000501881,0.022142407,1
347,1.68,406.119,19.665,0.437064421,0.000446599,0.02276483,1
348,1.758,404.295,20.232,0.291448314,0.000506022,0.022398075,1
349,1.632,620.977,16.857,0.249637909,0.000710998,0.027380933,1
350,1.968,179.64,28.545,0.216007333,0.000553021,0.02360867,1
351,1.92,203.379,27.199,0.241235251,0.000443494,0.020772217,1
352,1.647,460.878,18.555,0.498394987,0.000494841,0.023134721,1
353,1.676,601.095,17.125,0.214060104,0.000570206,0.024176277,1
354,1.923,409.545,23.886,0.075088277,0.000518445,0.022388829,1
355,2.197,70.876,39.359,0.108888897,0.00040167,0.020526561,1
356,1.794,248.846,24.852,0.25796818,0.000434591,0.021395792,1
357,1.761,473.065,18.753,0.554106413,0.000672694,0.026426653,1
358,1.808,830.891,17.709,0.156902161,0.000532731,0.022900849,1
359,2.023,153.45,30.684,0.247694249,0.000375168,0.01945459,1
360,1.793,344.598,22.633,0.229020094,0.000804997,0.028335957,1
361,1.91,261.478,25.06,0.678261577,0.000437489,0.021015001,1
362,1.855,224.752,25.357,0.416347378,0.000443494,0.021390953,1
363,1.922,183.21,27.362,0.195673144,0.000399186,0.019886148,1
364,1.807,339.347,22.479,-0.031351695,0.000516788,0.023071988,1
365,1.582,492.919,17.904,0.038328759,0.000936057,0.030493376,1
366,1.797,282.732,23.2,0.72673686,0.000543704,0.022760282,1
367,1.88,201.954,26.99,0.187131707,0.000746817,0.027927483,1
368,1.773,247.832,23.291,0.304249806,0.000511405,0.022388829,1
369,1.889,228.569,25.202,0.039890486,0.000469582,0.021727082,1
370,1.756,404.524,19.541,0.317536535,0.000538114,0.023887659,1
371,1.719,328.165,21.535,-0.012975383,0.000462749,0.021836396,1
372,1.552,820.885,13.942,0.389907157,0.000758204,0.030241107,1
373,1.744,403.289,19.707,-0.046851824,0.000703958,0.027229279,1
374,1.964,252.58,25.902,0.055622187,0.000391318,0.020201206,1
375,1.713,544.908,17.341,0.378531123,0.001001484,0.030141669,1
376,1.893,252.146,25.078,0.100193046,0.000569378,0.024486869,1
377,1.783,457.694,19.643,0.255794089,0.001043515,0.032348311,1
378,1.857,553.115,18.486,-0.007806221,0.000729218,0.027640581,1
379,1.951,182.502,28.501,0.185798899,0.000431899,0.021024851,1
380,1.893,145.173,29.142,0.376973641,0.00046896,0.020767232,1
381,1.857,217.12,24.937,0.377142369,0.00077042,0.027512945,1
382,1.806,296.443,22.679,0.011025367,0.000593395,0.024060385,1
383,1.811,369.924,20.234,0.682432168,0.000689051,0.028097481,1
384,1.826,334.098,22.084,0.222826129,0.00065199,0.026403138,1
385,1.662,596.605,16.748,0.210793484,0.001204597,0.034716248,1
386,1.944,172.196,28.117,0.684454885,0.00043397,0.022076856,1
387,1.775,644.817,18.299,0.092205887,0.001136271,0.035269471,1
388,1.924,253.317,26.886,0.093964858,0.000403741,0.020334009,1
389,2.023,99.047,33.991,0.283228482,0.000419476,0.020866693,1
390,1.889,299.734,25.351,0.098906197,0.000462128,0.021949881,1
391,1.697,265.647,22.857,0.692950887,0.000770834,0.027573083,1
392,1.896,276.488,23.312,0.104954331,0.000707685,0.028939648,1
393,1.762,304.889,22.801,0.495705141,0.000914732,0.029990168,1
394,2.0,153.607,29.583,0.265084996,0.00039049,0.020420375,1
395,1.853,402.448,21.037,0.178959229,0.000618241,0.024930979,1
396,1.739,370.828,20.707,0.298820339,0.000625281,0.024876939,1
397,1.973,260.99,26.605,0.143344889,0.000415128,0.020836905,1
398,1.789,380.149,20.535,0.338493916,0.000443908,0.021774677,1
399,1.86,402.657,21.313,0.440170067,0.000522171,0.02383994,1
400,1.673,241.865,23.463,0.298006824,0.000612237,0.02548945,1
401,2.029,121.955,33.516,0.211677162,0.000411609,0.020257498,1
402,1.901,501.009,21.564,0.298000876,0.000414507,0.020717323,1
403,1.603,602.074,16.435,0.408421633,0.000863177,0.028171074,1
404,1.798,383.297,21.671,0.0631129,0.000541841,0.023599898,1
405,1.778,385.767,20.777,0.239494039,0.000981401,0.030581518,1
406,1.99,138.347,30.607,0.393455014,0.000451776,0.021482708,1
407,1.846,667.53,16.417,0.424648669,0.000537079,0.024385193,1
