Label,GLRLM0,GLRLM1,GLRLM2,GLRLM3,GLRLM4,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,correlation_0,correlation_45,correlation_90,correlation_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,contrast_0,contrast_45,contrast_90,contrast_135,ASM_0,ASM_45,ASM_90,ASM_135,energy_0,energy_45,energy_90,energy_135
Healthy,2.065,121.424,1094.114,21513.573,32.394,35.5019305,30.1433518,33.2998713,38.83518006,0.06111456,0.286524203,0.124703501,-0.153983131,0.026117293,0.03451634,0.031017449,0.026006665,1924.124839,1436.550554,1778.612613,2332.49723,0.000403948,0.000435703,0.000408917,0.00042803,0.020098453,0.0208735,0.020221694,0.020688877
Healthy,1.755,518.081,1818.675,9571.21,19.561,24.6036036,24.95567867,21.54568855,22.23060942,0.199530264,0.221483286,0.437008824,0.376870917,0.04441576,0.043041293,0.047046312,0.051070843,1060.631918,1033.746537,733.7232947,828.050554,0.000477035,0.000527783,0.000509127,0.000514595,0.021841136,0.022973535,0.022563852,0.022684681
Healthy,1.832,530.687,1850.348,10107.18,19.25,19.08687259,17.89819945,13.12934363,18.81371191,0.479694371,0.523084563,0.801055498,0.493332708,0.085165157,0.079875313,0.092170936,0.074911653,787.0585586,681.9591413,355.8912484,786.6211911,0.000657787,0.000675735,0.000710377,0.000671659,0.025647356,0.025994909,0.026652892,0.025916381
Healthy,1.786,219.753,1447.436,12559.28,24.572,24.51158301,28.8531856,26.59459459,26.83864266,0.239238876,-0.006274545,0.109720218,0.132492595,0.048822584,0.032014148,0.03568954,0.031895544,989.0238095,1282.070637,1123.092664,1111.873269,0.000453432,0.000471672,0.000462128,0.000468075,0.021293941,0.021718008,0.02149716,0.021635041
Healthy,1.814,454.13,1802.407,10314.404,19.816,11.61454311,11.52285319,10.94144144,11.32963989,0.457072053,0.46317409,0.485185945,0.447759878,0.078408991,0.078479888,0.098234866,0.083198386,216.2001287,217.6364266,219.8706564,222.4750693,0.000825288,0.000862534,0.00086504,0.000879559,0.028727818,0.029368923,0.02941157,0.029657359
Healthy,2.119,97.654,999.971,24741.333,35.39,39.47619048,36.79085873,31.32303732,32.78254848,0.024294935,0.121092002,0.338557777,0.27947677,0.023099369,0.022777152,0.029960319,0.029151448,2391.714286,2142.024931,1579.034749,1775.227147,0.000389455,0.00041604,0.00040167,0.000420836,0.019734603,0.020397059,0.020041714,0.020514284
Healthy,1.875,375.63,1534.331,12786.482,23.142,29.63063063,25.36565097,29.33655084,32.97576177,0.412131779,0.537570543,0.336141365,0.200738039,0.043837979,0.051121996,0.047857503,0.040374437,1477.694981,1120.573407,1527.883526,1923.461911,0.00043045,0.000466396,0.000443287,0.000457284,0.020747283,0.021596213,0.021054373,0.021384207
Healthy,1.93,265.346,1359.248,15323.822,26.074,25.73809524,23.3732687,21.35585586,24.88227147,-0.026971117,0.057663708,0.201782398,-0.020530398,0.042406778,0.051791425,0.058779845,0.044003544,1100.43565,951.9799169,780.0881596,1029.16482,0.00051803,0.000533059,0.000526726,0.000515554,0.022760282,0.023088065,0.022950521,0.022705812
Healthy,1.886,791.035,1966.805,9961.794,18.079,26.93758044,29.37396122,28.97297297,27.36565097,0.295527018,0.182338157,0.199252928,0.317902471,0.044695331,0.038013776,0.035155868,0.035787523,1246.303089,1415.99169,1366.700129,1191.191136,0.00043956,0.000461121,0.00043252,0.000448172,0.020965682,0.021473728,0.02079712,0.021170078
Healthy,1.788,484.981,1825.324,9963.787,19.575,11.97876448,10.56232687,12.40797941,14.06855956,0.532074566,0.645986606,0.51841801,0.36873443,0.087178682,0.101584665,0.078479406,0.07214751,241.7586873,185.2437673,247.7271557,329.3663435,0.000755513,0.000819851,0.000747231,0.000709066,0.027486593,0.028633033,0.027335526,0.026628302
Healthy,1.71,551.51,2019.526,8207.089,17.681,10.63191763,11.93698061,11.0952381,11.55817175,0.127437521,-0.03377772,0.129610488,-0.0146618,0.106358265,0.087348932,0.088637897,0.093033511,211.4684685,247.1765928,211.5006435,239.4155125,0.001229235,0.001148846,0.001135236,0.00119009,0.035060452,0.03389463,0.033693266,0.034497685
Healthy,1.778,455.771,1721.039,10441.553,20.71,28.85070785,30.7998615,27.24517375,22.52562327,0.220780639,0.105064126,0.305527357,0.48377975,0.04192269,0.038729668,0.039818463,0.060565949,1487.469755,1672.851108,1300.611969,939.4771468,0.000430243,0.000459203,0.000466476,0.000514835,0.020742293,0.021429014,0.021598052,0.022689965
Healthy,1.643,610.784,2175.12,7071.836,16.463,18.89253539,17.16135734,19.35778636,23.22022161,0.250602384,0.401345584,0.221014405,-0.007857924,0.071797588,0.070987127,0.063252097,0.050138356,671.8912484,540.8220222,710.0694981,925.7506925,0.000729632,0.000754387,0.000674765,0.000643843,0.027011701,0.027466111,0.025976233,0.02537406
Healthy,1.776,324.63,1622.209,11103.23,21.942,22.03281853,18.94459834,18.11647362,25.13642659,0.575873026,0.727741391,0.71576025,0.487603906,0.062571964,0.0648307,0.067493016,0.054386362,1000.155084,644.2631579,650.6042471,1221.115651,0.000526105,0.000552722,0.000520722,0.000534498,0.022936984,0.023510035,0.022819335,0.023119202
Healthy,1.953,227.796,1353.795,15630.458,26.209,26.71364221,25.74792244,25.74066924,26.05609418,0.248297826,0.267645951,0.303367216,0.253872471,0.042024825,0.037258729,0.042741357,0.04106901,1165.958172,1068.742382,1050.008366,1098.657202,0.000441423,0.000464238,0.000449291,0.000471912,0.021010074,0.02154619,0.021196485,0.021723528
Healthy,2.083,122.631,1090.197,21809.283,32.45,39.06821107,34.58864266,34.22072072,36.02700831,0.101842842,0.250798526,0.249760894,0.160052536,0.024343814,0.032382706,0.027000171,0.028028164,2368.355212,1917.785319,1834.857786,2143.91205,0.000395459,0.000421076,0.0003996,0.000418438,0.019886148,0.020520128,0.019989993,0.020455756
Healthy,1.822,292.233,1565.569,11888.124,22.673,24.45688546,27.37465374,22.58944659,21.6398892,0.244652142,0.053326587,0.333641418,0.348065904,0.038318851,0.033331989,0.039158184,0.050975999,941.6138996,1147.484072,797.5302445,793.8711911,0.000462749,0.000489177,0.000482211,0.000521309,0.021511602,0.02211734,0.021959312,0.02283219
Healthy,1.884,152.066,1255.68,16019.662,28.276,22.14736165,21.02493075,17.9967825,19.86495845,0.106976708,0.101291951,0.337952209,0.255520365,0.045857396,0.052960899,0.057302774,0.050421365,782.9362934,766.465374,548.2516088,636.8220222,0.000497119,0.000550564,0.000543911,0.000535457,0.02229616,0.023464092,0.023321905,0.023139937
Healthy,1.718,251.943,1526.996,11409.433,23.407,14.90926641,14.18767313,15.54247104,16.09764543,0.14332223,0.23844378,0.128652132,0.057364356,0.063354171,0.065685828,0.061152341,0.052823488,351.7007722,320.017313,382.1975547,395.7596953,0.000742883,0.000782683,0.000721971,0.000765657,0.02725588,0.027976468,0.026869523,0.027670517
Healthy,2.086,117.896,1042.669,23254.46,34.064,25.01801802,27.86911357,27.65894466,29.69390582,0.262274262,0.109044016,0.12830225,-0.018050707,0.038346407,0.035184671,0.032367504,0.027966025,1010.621622,1186.025623,1156.495495,1357.771468,0.000458608,0.000453448,0.000455295,0.000464718,0.021415137,0.02129431,0.021337651,0.021557316
Healthy,2.005,230.916,1283.465,17336.547,27.636,32.6010296,30.72576177,21.99034749,28.46468144,-0.061286363,0.014382012,0.475621467,0.172637396,0.033938516,0.035024565,0.051478191,0.032787411,1684.720721,1556.767313,816.9092664,1288.790166,0.000437489,0.000457764,0.000453018,0.000468315,0.020916246,0.021395418,0.021284215,0.021640582
Healthy,1.863,409.143,1581.574,12207.343,22.432,26.62741313,27.97714681,25.04890605,25.36772853,0.198747848,0.161159737,0.331917189,0.302843253,0.053198023,0.035096995,0.040299288,0.038567015,1213.55148,1262.299861,1040.214929,1056.783241,0.000455295,0.000469274,0.000451154,0.000456325,0.021337651,0.021662732,0.021240396,0.021361768
Healthy,1.838,209.676,1424.285,13327.8,24.91,21.41248391,19.21052632,20.14350064,22.48753463,0.447704803,0.516656822,0.500759441,0.388139837,0.044005213,0.059464697,0.047667154,0.044018139,732.0855856,627.0152355,639.9478764,781.4709141,0.0004613,0.000522987,0.000465648,0.000487258,0.021477888,0.022868919,0.021578871,0.02207393
Healthy,1.874,242.312,1382.886,14326.571,25.651,24.36036036,25.63088643,23.85714286,24.20360111,0.01577272,-0.053072397,0.100872988,0.084757626,0.039059917,0.037652653,0.044144433,0.039446981,978.3075933,1059.299861,903.1814672,913.0360111,0.00051596,0.000515314,0.000510163,0.000525385,0.022714752,0.022700531,0.022586781,0.022921287
Healthy,1.728,624.238,2090.288,7934.151,16.966,18.54697555,19.64265928,17.96846847,16.78462604,0.126275444,0.048995251,0.147682586,0.251093072,0.06121132,0.050518721,0.065038205,0.071628188,595.1956242,635.6066482,553.0611326,503.1918283,0.000595673,0.000604037,0.00060499,0.000642644,0.024406411,0.024577171,0.024596544,0.025350423
Healthy,1.969,197.327,1297.415,16447.569,27.276,21.35521236,19.25623269,21.92664093,23.08379501,0.132822868,0.222741556,0.050127149,0.015389092,0.045604831,0.06039818,0.043274931,0.037286667,727.3989704,644.1620499,770.2664093,806.6668975,0.000520722,0.000549365,0.000542048,0.000564711,0.022819335,0.023438529,0.023281921,0.023763656
Healthy,1.688,369.614,1702.624,9937.284,21.118,31.4041184,25.80401662,33.04311454,36.9501385,0.139499857,0.414046498,0.071808992,-0.1475947,0.039899152,0.051978723,0.038237808,0.031791345,1649.182754,1126.686288,1800.704633,2223.18144,0.000431485,0.000467595,0.000413472,0.000446014,0.020772217,0.021623954,0.020334009,0.021119045
Healthy,2.002,251.747,1316.912,16863.396,26.997,25.02380952,29.04293629,25.32432432,24.50277008,0.245710341,0.056804513,0.25910979,0.272467756,0.051842393,0.036498054,0.04381121,0.041504384,1108.119048,1347.700831,1055.998713,1037.587258,0.000456952,0.000469514,0.000465234,0.000503324,0.021376429,0.021668266,0.021569274,0.022434894
Healthy,1.738,610.349,1879.334,9286.017,19.011,17.47554698,16.72160665,17.59137709,16.34833795,0.277285087,0.348846541,0.141304244,0.2665545,0.062933808,0.062379232,0.076033021,0.063897166,595.527027,496.4168975,709.8693694,602.6932133,0.000656545,0.000665184,0.000692157,0.000721775,0.025623126,0.02579117,0.026308869,0.026865879
Healthy,1.721,380.494,1787.033,9573.854,20.009,20.59202059,19.96883657,15.83783784,17.94390582,0.110479815,0.086624167,0.332792086,0.226359848,0.049424336,0.061045907,0.080255609,0.078449269,703.4851995,676.2652355,471.2908623,577.416205,0.000569378,0.000629455,0.000682632,0.000666383,0.023861642,0.025088949,0.026127236,0.025814403
Healthy,1.776,514.048,1956.873,9039.6,18.247,11.42342342,11.50207756,9.706563707,10.62257618,0.436685174,0.359802289,0.469033638,0.430129962,0.089654935,0.09230818,0.122683586,0.095626259,236.036036,234.0228532,188.7413127,204.9882271,0.00100107,0.001021756,0.001078505,0.001099449,0.031639691,0.031964917,0.032840606,0.033157935
Healthy,1.838,228.614,1419.22,13614.796,25.092,19.83976834,19.17936288,18.40604891,19.29085873,0.174461356,0.242826711,0.295357005,0.226073083,0.06008426,0.063087859,0.052571145,0.053303312,698.8732304,634.1682825,581.3069498,650.0914127,0.000565237,0.000604997,0.000589254,0.000600201,0.023774715,0.024596677,0.024274564,0.024498993
Healthy,1.955,244.076,1346.528,15724.024,26.321,27.07078507,30.72714681,28.94594595,27.98545706,0.239004709,0.053103581,0.196771126,0.238857734,0.037296881,0.029933097,0.037536545,0.033201091,1180.477477,1491.634349,1353.063063,1216.938366,0.000448049,0.000468794,0.000418027,0.000473111,0.021167161,0.02165166,0.020445708,0.021751106
Healthy,1.872,189.408,1313.834,15210.949,27.051,25.11132561,22.6634349,23.70592021,23.96191136,0.238740606,0.319700321,0.263750277,0.297993267,0.040664102,0.056276992,0.042006122,0.041713946,1017.578507,884.5941828,911.9195624,916.6433518,0.000456331,0.000498289,0.00047041,0.000479825,0.021361895,0.022322384,0.021688931,0.021904904
Healthy,2.091,145.096,1118.787,21481.005,31.666,40.67052767,34.23268698,30.85714286,35.72091413,-0.113817491,0.114298972,0.29451686,0.053558718,0.022353841,0.037084916,0.031894847,0.041437622,2722.086229,2143.584488,1664.234234,2295.625346,0.000413472,0.000445295,0.000412851,0.000438341,0.020334009,0.021102007,0.02031873,0.020936588
Healthy,1.959,206.06,1315.938,16389.32,27.101,25.18211068,26.00415512,26.98970399,31.56094183,0.600397837,0.579381741,0.536769219,0.449621367,0.066284247,0.05077082,0.052002534,0.030761758,1285.780566,1292.16759,1418.164736,1681.632964,0.000465648,0.000467356,0.000460679,0.000442897,0.021578871,0.021618409,0.021463424,0.021045113
Healthy,1.849,229.207,1440.273,13391.172,24.706,22.98519949,26.60803324,22.16666667,22.18698061,0.423603933,0.24736137,0.479152098,0.464990431,0.063076959,0.040908699,0.042510126,0.0453176,965.6776062,1220.637119,845.542471,838.434903,0.000451361,0.000470233,0.000463577,0.000468794,0.021245269,0.021684859,0.021530843,0.02165166
Healthy,1.996,139.966,1159.381,19109.384,30.575,35.27477477,33.84903047,31.38416988,30.80747922,0.377874042,0.384683123,0.432639406,0.48418038,0.023413696,0.037112132,0.037139576,0.035422575,1876.086873,1872.090028,1758.493565,1556.397507,0.000393181,0.00042707,0.000413472,0.000434984,0.019828802,0.020665683,0.020334009,0.020856261
Healthy,1.9,213.672,1376.272,14840.427,25.881,17.32561133,17.84072022,15.29150579,16.32271468,0.077797306,0.032412662,0.204406727,0.119663799,0.056116495,0.054207649,0.068334274,0.06735279,501.0823681,509.4515235,407.9066924,464.2188366,0.000693813,0.000685807,0.000704372,0.000701153,0.026340329,0.026187909,0.026540014,0.0264793
Healthy,1.701,629.179,2113.373,7723.119,16.844,22.14864865,17.72783934,22.15057915,23.09210526,-0.034771825,0.352038186,0.007940199,-0.037205772,0.063762115,0.070153069,0.059157215,0.055249461,913.9182754,577.3995845,867.0900901,938.4909972,0.000590704,0.000677893,0.000584699,0.000614828,0.024304398,0.026036387,0.024180559,0.024795725
Healthy,1.759,361.518,1639.225,10870.638,21.742,16.71299871,15.67313019,17.0952381,16.8033241,0.157446449,0.204739,0.066403351,0.133461975,0.055377983,0.073129627,0.064596685,0.066925155,474.4259974,431.6481994,501.1891892,473.1440443,0.000629007,0.000694439,0.000659443,0.000679812,0.02508002,0.026352213,0.025679627,0.0260732
Healthy,1.931,210.982,1293.242,16108.716,27.362,34.52895753,33.09833795,28.87129987,29.72091413,-0.01163775,0.010789936,0.231699295,0.239171413,0.027473821,0.038680479,0.042831084,0.036026079,1837.561133,1807.897507,1402.714286,1402.112881,0.000425067,0.000458963,0.000433762,0.000448652,0.020617142,0.021423419,0.020826966,0.021181402
Healthy,1.887,248.737,1460.307,13697.933,24.368,15.16280566,15.18836565,13.8951094,14.12257618,0.451497123,0.39469458,0.50033001,0.514591017,0.058138924,0.067335552,0.075280482,0.068518102,362.1962677,385.3864266,313.8886744,306.3691136,0.000617206,0.00062442,0.000622382,0.000655833,0.024843626,0.024988391,0.024947583,0.025609227
Healthy,1.672,830.415,2261.383,7071.864,15.812,23.25289575,27.01385042,23.36808237,17.18559557,0.150217027,-0.090005793,0.121832566,0.509340377,0.047273598,0.038213168,0.037350491,0.060448531,882.2425997,1117.578947,866.984556,493.1108033,0.000544325,0.000580298,0.000558612,0.00063617,0.023330781,0.024089373,0.023634965,0.025222401
Healthy,1.909,203.335,1328.259,15406.16,26.69,34.14864865,29.50623269,24.93886744,30.97714681,0.182795258,0.33701598,0.542487178,0.320650486,0.027806721,0.037474804,0.03949889,0.033742573,1827.723938,1489.011773,1019.196268,1533.936981,0.000397322,0.000458243,0.000424859,0.000440978,0.019932945,0.021406623,0.02061212,0.020999486
Healthy,1.78,396.878,1835.907,9575.821,19.359,21.22651223,18.06717452,17.46267696,18.73476454,0.027184071,0.191864019,0.265762663,0.186471758,0.040904286,0.069298133,0.053310055,0.052208201,696.7220077,553.3677285,484.6711712,558.6738227,0.000556541,0.00058917,0.000588219,0.000593966,0.023591123,0.024272828,0.024253231,0.024371419
Healthy,1.922,164.934,1281.838,16138.867,27.698,18.48133848,14.8531856,16.31274131,19.16689751,0.03896359,0.302221058,0.133467861,-0.045493156,0.058477911,0.077911014,0.07078747,0.053492753,593.4916345,410.0761773,483.3153153,614.7375346,0.000653025,0.000746714,0.00068843,0.000674057,0.02555435,0.027326066,0.026237945,0.025962603
Healthy,1.904,228.883,1423.041,14229.53,25.089,27.49099099,35.23614958,40.32754183,39.15720222,0.473984126,0.188666424,-0.006419778,2.59E-05,0.038996711,0.026417577,0.022183643,0.023767468,1231.676319,1944.608726,2494.982625,2407.204294,0.000414507,0.000413402,0.000382001,0.000420356,0.020359449,0.020332297,0.019544842,0.020502592
Healthy,1.921,279.056,1422.833,14468.908,24.997,17.79150579,18.47437673,18.23423423,19.38365651,0.181147756,0.002756657,0.081288829,0.006707222,0.055008053,0.054481279,0.065721466,0.051489745,515.6898327,599.08241,559.1415701,613.5027701,0.000613893,0.000669501,0.000622796,0.000646481,0.024776864,0.025874711,0.024955881,0.025425983
Healthy,1.856,519.282,1820.143,10421.453,19.486,16.61196911,16.9598338,15.50836551,15.67797784,0.399386089,0.320354107,0.42974738,0.466716309,0.068596625,0.062797304,0.067652098,0.060640017,495.7175032,526.5692521,437.4684685,407.4328255,0.000576832,0.000606435,0.000565651,0.000598043,0.02401732,0.024625906,0.023783422,0.024454908
Healthy,1.873,364.254,1548.539,12751.886,22.949,28.7027027,26.65443213,27.16023166,28.81301939,0.180868095,0.250017238,0.235269728,0.195321062,0.030549631,0.039625769,0.034884809,0.032418042,1306.804376,1198.384349,1193.98906,1292.696676,0.000452397,0.000487978,0.000452604,0.000468315,0.021269619,0.022090219,0.021274486,0.021640582
Healthy,1.777,493.939,1869.961,9487.882,19.06,18.96010296,19.1433518,16.76254826,18.39958449,0.160848951,0.101179122,0.275874628,0.16717547,0.058678836,0.066541915,0.065625835,0.057820809,619.3101673,635.6101108,505.3957529,600.8455679,0.000631906,0.000663026,0.000656752,0.000651276,0.025137741,0.025749297,0.025627166,0.025520119
Healthy,2.083,108.895,1034.558,23194.477,34.201,39.32303732,33.00069252,34.83397683,38.00692521,-0.11386996,0.165526877,0.106020627,-0.063414883,0.026402623,0.030397958,0.032936753,0.026357283,2402.756757,1774.772161,1875.018018,2227.001385,0.0003996,0.000432106,0.000402706,0.000441458,0.019989993,0.020787162,0.020067524,0.021010902
Healthy,1.771,297.007,1566.496,11640.729,22.838,18.97039897,17.84626039,15.9954955,17.69044321,0.368688021,0.403958045,0.509677606,0.44633941,0.060738479,0.071180547,0.074352154,0.061369124,648.1016731,597.9695291,480.0933076,541.6101108,0.000526726,0.000544329,0.000545154,0.000552722,0.022950521,0.023330859,0.023348523,0.023510035
Healthy,1.93,110.72,1124.364,18912.824,31.613,17.19047619,17.95360111,16.42857143,17.14473684,0.304208703,0.261199412,0.380134538,0.329201766,0.06370976,0.055050403,0.062640399,0.056286169,488.7606178,513.4619114,437.3873874,460.3012465,0.000596087,0.000615068,0.000584699,0.000618665,0.024414893,0.02480056,0.024180559,0.024872971
Healthy,1.686,465.904,1985.704,8152.839,17.973,12.2001287,12.5567867,12.9041184,14.79362881,0.399779325,0.376411019,0.316764767,0.188508971,0.093917014,0.078002131,0.083078579,0.062792487,264.4176319,265.8559557,284.2091377,340.2409972,0.000805825,0.000846707,0.000821354,0.000803545,0.028387059,0.029098236,0.028659268,0.028346864
Healthy,1.931,200.731,1274.659,16586.424,27.856,34.06885457,30.86357341,28.18404118,26.93351801,0.001392282,0.108372026,0.222350779,0.365605823,0.030920192,0.040489041,0.04226389,0.033899899,1880.028958,1624.815097,1380.307593,1171.087258,0.00041782,0.000456325,0.000427965,0.000458963,0.020440644,0.021361768,0.02068732,0.021423419
Healthy,1.907,208.226,1361.099,14954.664,26.171,22.05984556,20.7998615,19.22072072,22.74861496,0.157778629,0.23094137,0.421054751,0.14068049,0.043223649,0.062225939,0.050190504,0.040092761,839.485843,773.4106648,615.453668,859.4951524,0.000544325,0.000593966,0.000576625,0.000571905,0.023330781,0.024371419,0.024013009,0.023914538
Healthy,1.834,340.782,1530.845,12588.015,23.259,21.5997426,22.37950139,21.62419562,22.06163435,0.123821447,0.062465669,0.106100054,0.046607461,0.049025764,0.044777963,0.049286209,0.048595186,749.5006435,797.4930748,756.2187902,796.1599723,0.000521757,0.000544569,0.000529004,0.00055416,0.022842007,0.023335998,0.023000085,0.023540614
Healthy,1.589,597.797,2221.522,6630.411,16.115,12.15057915,10.97922438,11.99227799,12.46052632,0.194613433,0.314930313,0.054243976,0.02233741,0.096400628,0.101885526,0.10720253,0.088820129,325.8082368,226.8268698,367.8365508,349.0283934,0.001202733,0.001321497,0.001244143,0.001227498,0.034680446,0.036352394,0.035272406,0.035035666
Healthy,1.864,282.973,1485.345,13131.761,23.925,26.14543115,25.76869806,21.07271557,24.07409972,0.398526023,0.44579698,0.631062675,0.514576149,0.044333876,0.040574765,0.052275327,0.047423966,1224.554698,1146.414127,788.4060489,1007.547784,0.000426516,0.000465677,0.000442458,0.000458963,0.020652261,0.021579552,0.021034696,0.021423419
Healthy,2.056,116.323,1066.349,21996.945,33.209,40.27863578,34.91620499,30.58558559,35.77770083,0.033291171,0.217108221,0.414198257,0.229260439,0.022952163,0.037790038,0.037944271,0.029704168,2594.561776,2101.907895,1539.553411,2081.388504,0.000402084,0.000417239,0.000392353,0.000415321,0.020052042,0.020426428,0.019807907,0.020379417
Healthy,2.009,139.204,1162.019,19240.623,30.49,24.74066924,23.95429363,20.52638353,20.37534626,0.026430641,0.020783217,0.176510544,0.294464972,0.040557047,0.045805493,0.062679199,0.057154892,973.9671815,960.5706371,796.3397683,680.6578947,0.000495669,0.000523707,0.000558612,0.00053114,0.022263634,0.022884642,0.023634965,0.023046484
Healthy,1.869,197.541,1343.46,14687.57,26.46,19,17.25138504,14.68661519,18.38850416,0.415789931,0.502846825,0.664724938,0.438075842,0.059096805,0.063733067,0.069934131,0.058410686,623.5019305,519.9674515,357.547619,594.5796399,0.000517202,0.000609792,0.000564202,0.000581976,0.022742081,0.024693974,0.023752933,0.024124188
Healthy,1.978,106.232,1075.172,20719.108,33.06,17.78571429,18.31717452,19.56306306,19.94113573,0.480355079,0.39238341,0.329324039,0.313799833,0.056294469,0.057250698,0.042855157,0.04978661,502.2001287,545.7590028,594.3893179,611.8635734,0.000523207,0.000557997,0.000508713,0.000552722,0.02287371,0.023621964,0.022554675,0.023510035
Healthy,1.753,422.35,1747.815,10133.429,20.448,17.31724582,16.03393352,17.31724582,19.3933518,0.381808952,0.416902337,0.345597963,0.223102058,0.065492401,0.073873497,0.063346383,0.055710644,506.9066924,483.8663435,524.7252252,619.2299169,0.000622589,0.000682449,0.000617413,0.000627297,0.024951732,0.026123734,0.024847792,0.025045902
